Toto,Wannabee Cat,Dog meets potbelly pig meets cat.,5000
Margot,Domestic Shorthair,This beautiful tabby cat loves eating paper.,1000
Murloc,Tuxedo,Too smart for his own good.,-4
Mage,Domestic Longhair,Pizza cat.,400
Mirri,Maine Coon,Kween.,800
Mason,Domestic Shorthair,Cannot compute.,1000
Tiramisu,Domestic Shorthair,"This friendly fella's name aptly translates to ""pick me up"" in Italian.",200
Midnight,Domestic Shorthair,This delightful black cat will keep you company.,150
Anna Sophia,Domestic Shorthair,With a coat remniscent of a Russian Blue--and a sweet- if noisy- temperament--this kitten is a delight.,230
Patches,Domestic Shorthair,Her gruff exterior and protruding- saber-tooth-like canines hide a heart of gold.,500
Nelson,Domestic Longhair,A sweet-natured yellow tabby who quickly warms up to new friends.,800
Beauty,Domestic Shorthair,Having suffered an accident early in life- this calico makes up for in attitude what she's missing in right rear leg.,500
